x,y,z,source,maxzoom
2160,1294,12,dk,17
2160,1295,12,dk,17
2161,1295,12,dk,17
2180,1302,12,dk,17
2181,1302,12,dk,17
540,321,10,dk,17
541,321,10,dk,17
2139,1264,12,dk,17
539,312,10,dk,17
539,313,10,dk,17
538,313,10,dk,17
272,160,9,dk,17
2172,1266,12,dk,17
2172,1267,12,dk,17
536,313,10,dk,17
2150,1254,12,dk,17
2151,1254,12,dk,17
2150,1255,12,dk,17
2168,1272,12,dk,17
2169,1272,12,dk,17
2168,1273,12,dk,17
2183,1304,12,dk,17
2182,1304,12,dk,17
2173,1286,12,dk,17
2166,1299,12,dk,17
2167,1298,12,dk,17
2166,1298,12,dk,17
2178,1292,12,dk,17
2179,1292,12,dk,17
2179,1293,12,dk,17
546,322,10,dk,17
2139,1283,12,dk,17
2168,1247,12,dk,17
2168,1246,12,dk,17
1082,639,11,dk,17
1083,639,11,dk,17
1082,638,11,dk,17
2158,1290,12,dk,17
2159,1290,12,dk,17
2158,1291,12,dk,17
2141,1260,12,dk,17
2141,1261,12,dk,17
2140,1261,12,dk,17
2166,1261,12,dk,17
2166,1260,12,dk,17
1087,641,11,dk,17
1086,640,11,dk,17
1087,640,11,dk,17
1078,646,11,dk,17
1078,647,11,dk,17
1079,647,11,dk,17
2173,1296,12,dk,17
2172,1296,12,dk,17
2173,1297,12,dk,17
2164,1280,12,dk,17
2165,1280,12,dk,17
554,323,10,dk,17
1085,636,11,dk,17
2160,1298,12,dk,17
2161,1298,12,dk,17
2179,1275,12,dk,17
2180,1294,12,dk,17
2181,1294,12,dk,17
540,312,10,dk,17
541,312,10,dk,17
540,313,10,dk,17
270,158,9,dk,17
1108,645,11,dk,17
1109,645,11,dk,17
2153,1251,12,dk,17
2152,1251,12,dk,17
2172,1246,12,dk,17
2173,1247,12,dk,17
2172,1247,12,dk,17
2169,1301,12,dk,17
2169,1300,12,dk,17
1083,620,11,dk,17
1083,621,11,dk,17
1082,621,11,dk,17
535,316,10,dk,17
535,317,10,dk,17
2170,1301,12,dk,17
2170,1300,12,dk,17
535,320,10,dk,17
2164,1298,12,dk,17
2165,1298,12,dk,17
2165,1299,12,dk,17
2218,1296,12,dk,17
2219,1296,12,dk,17
2179,1294,12,dk,17
2179,1295,12,dk,17
2178,1295,12,dk,17
2163,1282,12,dk,17
2162,1283,12,dk,17
2163,1283,12,dk,17
2139,1274,12,dk,17
2139,1275,12,dk,17
1082,630,11,dk,17
1082,631,11,dk,17
1086,644,11,dk,17
1087,644,11,dk,17
1087,645,11,dk,17
2166,1280,12,dk,17
2167,1280,12,dk,17
2194,1282,12,dk,17
2194,1283,12,dk,17
540,318,10,dk,17
540,319,10,dk,17
2159,1243,12,dk,17
2171,1249,12,dk,17
2170,1249,12,dk,17
2171,1248,12,dk,17
2183,1276,12,dk,17
2182,1276,12,dk,17
2183,1277,12,dk,17
544,324,10,dk,17
545,324,10,dk,17
2220,1296,12,dk,17
2173,1300,12,dk,17
2172,1300,12,dk,17
540,311,10,dk,17
541,311,10,dk,17
1093,636,11,dk,17
1092,637,11,dk,17
1093,637,11,dk,17
2186,1293,12,dk,17
2187,1293,12,dk,17
2186,1292,12,dk,17
2168,1248,12,dk,17
2168,1249,12,dk,17
2169,1249,12,dk,17
2158,1293,12,dk,17
2159,1293,12,dk,17
2158,1292,12,dk,17
2166,1253,12,dk,17
2166,1252,12,dk,17
2166,1262,12,dk,17
2166,1263,12,dk,17
2167,1276,12,dk,17
2166,1276,12,dk,17
2167,1277,12,dk,17
2171,1250,12,dk,17
2171,1251,12,dk,17
1081,646,11,dk,17
1081,647,11,dk,17
1074,627,11,dk,17
1075,626,11,dk,17
1074,626,11,dk,17
2170,1284,12,dk,17
2170,1285,12,dk,17
2172,1251,12,dk,17
2173,1250,12,dk,17
2172,1250,12,dk,17
2166,1239,12,dk,17
2167,1238,12,dk,17
2167,1239,12,dk,17
1084,648,11,dk,17
1085,648,11,dk,17
1084,649,11,dk,17
2174,1247,12,dk,17
2175,1247,12,dk,17
1086,649,11,dk,17
1087,649,11,dk,17
1087,648,11,dk,17
546,319,10,dk,17
2172,1268,12,dk,17
2172,1269,12,dk,17
2166,1283,12,dk,17
2167,1283,12,dk,17
2161,1293,12,dk,17
2161,1292,12,dk,17
2188,1272,12,dk,17
2189,1273,12,dk,17
2188,1273,12,dk,17
540,315,10,dk,17
540,314,10,dk,17
2174,1277,12,dk,17
2175,1277,12,dk,17
2174,1276,12,dk,17
1090,646,11,dk,17
1091,646,11,dk,17
1091,647,11,dk,17
535,319,10,dk,17
535,318,10,dk,17
2168,1240,12,dk,17
2185,1300,12,dk,17
2184,1300,12,dk,17
2184,1301,12,dk,17
2160,1282,12,dk,17
2160,1283,12,dk,17
2157,1247,12,dk,17
2157,1246,12,dk,17
1082,626,11,dk,17
1082,627,11,dk,17
1093,648,11,dk,17
1092,648,11,dk,17
1092,649,11,dk,17
2186,1298,12,dk,17
2187,1298,12,dk,17
2186,1299,12,dk,17
1094,644,11,dk,17
1088,647,11,dk,17
2167,1275,12,dk,17
2166,1275,12,dk,17
541,322,10,dk,17
541,323,10,dk,17
540,322,10,dk,17
2171,1280,12,dk,17
2171,1281,12,dk,17
1095,637,11,dk,17
1094,637,11,dk,17
2172,1290,12,dk,17
2172,1291,12,dk,17
1089,650,11,dk,17
1088,650,11,dk,17
1089,651,11,dk,17
2174,1278,12,dk,17
2175,1278,12,dk,17
1080,621,11,dk,17
1081,621,11,dk,17
2188,1284,12,dk,17
1077,648,11,dk,17
1076,648,11,dk,17
2170,1298,12,dk,17
2170,1299,12,dk,17
2171,1298,12,dk,17
2170,1287,12,dk,17
2170,1286,12,dk,17
2220,1291,12,dk,17
2220,1290,12,dk,17
2173,1285,12,dk,17
2173,1284,12,dk,17
2192,1280,12,dk,17
2193,1281,12,dk,17
2192,1281,12,dk,17
1077,625,11,dk,17
1078,644,11,dk,17
1079,644,11,dk,17
1078,645,11,dk,17
2174,1250,12,dk,17
2141,1258,12,dk,17
2141,1259,12,dk,17
2162,1298,12,dk,17
2143,1292,12,dk,17
2143,1293,12,dk,17
1084,643,11,dk,17
1084,642,11,dk,17
2139,1272,12,dk,17
2139,1273,12,dk,17
1094,647,11,dk,17
1107,646,11,dk,17
2146,1251,12,dk,17
